Secret,Path / Location,Category,Rotation Cadence,Rotation Mechanism,Expiry Alert Method,Third-Party Notification,Owner
E2E Bypass Secret,/${stage}/flex-secret/waf/e2e-bypass,Infrastructure,30 days,Secrets Manager rotation Lambda (auto),EventBridge RotationFailed → SNS → Slack,None,Flex team
Origin Verify Secret,/${stage}/flex-secret/origin-verify-secret,Infrastructure,30 days,Secrets Manager rotation Lambda (auto),EventBridge RotationFailed → SNS → Slack,None,Flex team
DVLA Consumer Config,/dvla/consumer-config-secret-arn,External Service,90 days,Manual coordinated rotation,Scheduled Lambda checks LastRotatedDate → SNS → Slack,DVLA service support — raise request 5 business days before deadline,Flex team + DVLA
UDP Consumer Config,/udp/consumer-config-secret-arn,External Service,90 days,Manual coordinated rotation,Scheduled Lambda checks LastRotatedDate → SNS → Slack,UDP on-call / team directly — request new credential issuance,Flex team + UDP team
UNS Consumer Config,/uns/consumer-config-secret,External Service,90 days,Manual coordinated rotation,Scheduled Lambda checks LastRotatedDate → SNS → Slack,UNS team directly — request new credential issuance,Flex team + UNS team
E2E Private JWK,/development/flex-secret/auth/e2e/private_jwk,Test / E2E,90 days,Manual / scripted,Scheduled Lambda checks LastRotatedDate → SNS → Slack,None,Flex team
Smoke Test User,/${env}/flex-secret/smoke-test/user,Test / E2E,90 days,Manual / scripted,Scheduled Lambda checks LastRotatedDate → SNS → Slack,Identity provider (Cognito/OneLogin) — coordinate test user credential reset,Flex team
E2E Test User,/${stage}/flex-secret/e2e/test_user,Test / E2E,90 days,Manual / scripted,Scheduled Lambda checks LastRotatedDate → SNS → Slack,Identity provider (Cognito/OneLogin) — coordinate test user credential reset,Flex team
SONAR_TOKEN_FLEX,GitHub Actions repository secret,Pipeline,180 days,Manual — regenerate in SonarQube then update GitHub,Team calendar reminder + pipeline-secrets-last-rotated.json in repo,None,Flex team
Cognito JWT signing keys,Cognito JWKS endpoint (https://cognito-idp.eu-west-2.amazonaws.com/{poolId}/.well-known/jwks.json),Cognito / Auth,Continuous,AWS-managed — Cognito rotates signing keys internally. aws-jwt-verify (v5.2.1) auto-refetches JWKS on kid cache miss so key rotation is transparent,Authorizer Lambda 4xx error rate alarm (existing) catches verification failures if JWKS fetch fails after rotation,None — fully automatic,AWS (Cognito) / Flex team monitors
Cognito User Pool ID,/${env}/flex-param/auth/user-pool-id (SSM — provisioned by flex-params),Cognito / Auth,N/A — not a credential,No rotation — immutable resource ID. Changes require new user pool + coordinated migration with Platform team,Authorizer Lambda error rate alarm catches auth failures if pool ID becomes invalid. Bi-annual flex-params config review verifies SSM values match deployed Cognito resources,Platform team must notify Flex team before any user pool changes in flex-params,Platform team (flex-params) / Flex team monitors
Cognito App Client ID,/${env}/flex-param/auth/client-id (SSM — provisioned by flex-params),Cognito / Auth,N/A — public client with PKCE (no client secret),No rotation — public client ID. Changes require new client + coordinated migration with Platform team,Authorizer Lambda error rate alarm catches auth failures if client ID becomes invalid. Bi-annual flex-params config review verifies SSM values match deployed Cognito resources,Platform team must notify Flex team before any client changes in flex-params,Platform team (flex-params) / Flex team monitors
Cognito Stub JWK (dev),/development/flex-secret/auth/e2e/private_jwk — Lambda Function URL serves JWKS,Cognito / Auth,90 days (same as E2E Private JWK above),Manual — rotate the private JWK secret; stub JWKS endpoint auto-refreshes within 5 min (300s Powertools cache),Scheduled Lambda checks LastRotatedDate → SNS → Slack (covered by E2E Private JWK row),None — development only,Flex team
ACM Certificate (FlexCert),us-east-1 — CloudFront distribution,AWS-Managed,Auto-renewed 60 days before expiry,AWS ACM auto-renewal (DNS validation),CloudWatch alarm on DaysToExpiry < 45 → SNS → Slack,None,Flex team (CDK definition) / AWS (renewal)
OIDC Deployment Roles,GitHub Actions secrets (ARNs only),AWS-Managed,N/A — role ARNs not credentials,OIDC federation — short-lived STS tokens per workflow run,None needed — no stored credentials,None,Platform team
IAM / STS credentials,Lambda execution roles,AWS-Managed,Per-request,AWS-managed (Lambda runtime rotates automatically),None needed,None,AWS
GitHub GITHUB_TOKEN,GitHub Actions auto-generated,AWS-Managed,Per-workflow-run,GitHub auto-generates per run,None needed,None,GitHub
